experiment,total_outliers_frac_seed,num_outliers,overlap,outliers_max_dist_mm,outliers_dist_mm,start_day,end_day
13176,0.44999999999999996,2,0.8912944509079872,1.2000000476837158,[1.0816654  1.20000005],0,60
13176,0.4,1,0.8728609521837057,1.2727922201156616,[1.27279222],0,66
13176,0,0,0.9779592895112148,0,[],60,66
13177,0,0,0.9557431881220427,0,[],0,60
13253,8.200000000000001,14,0.8831036983321248,1.8493237495422363,"[0.73484701 0.89999962 0.67082059 0.30000007 1.84932375 1.46969378
 0.84852839 0.67082036 0.89999998 0.89999998 0.6708203  0.67082
 0.60000038 0.73484737]",0,59
13254,6.15,14,0.8314822360379069,2.4186768531799316,"[2.41867685 0.51961493 0.73484701 0.67081994 0.73484659 1.08166528
 2.24499488 0.84852844 1.30766916 1.23693109 0.73484665 0.5999999
 1.0816648  1.23693156]",0,59
13331,0.55,2,0.9907850539520229,0.994987965,[0.84852767 0.99498796],0,1
13332,3.45,9,0.9206602553741716,1.081665039,"[0.5999999  0.51961476 0.67082006 0.89999956 0.67082071 0.6708203
 0.73484689 0.90000033 1.08166504]",0,62
13577,2.75,9,0.8979382137924065,2.749545097351074,"[0.60000038 0.90000057 1.19999981 1.61554873 2.7495451  0.51961517
 0.30000019 0.67081952 1.03923094]",0,62
13578,1.05,5,0.7404808796980141,1.6970560550689697,[0.42426488 1.20000029 1.03923059 1.23693204 1.69705606],0,62
